13	0.984477	0.041
10157	1.25038	0.048
10257	0.913297	0.037
29777	1.05487	0.005
9744	1.05395	0.041
414149	1.29406	0.022
1636	0.883897	0.011
340485	1.12633	0.034
134526	1.00185	0.002
123876	0.891903	0.018
71	0.99736	0.034
90	0.90184	0.047
132612	0.945985	0.004
8747	0.787662	0.002
11086	0.924644	0.016
8756	0.927904	0.043
170692	1.29755	0.027
113451	0.893322	0.035
90956	0.829859	0.041
22850	1.21964	0.046
157	1.3573	0.041
392636	1.10344	0.032
155465	0.90929	0.03
196	0.718458	0.02
10598	0.96865	0.029
9255	1.00618	0.014
387851	1	0.044
122481	1.29957	0.028
224	1.2201	0.028
501	1.05017	0.001
29880	0.902021	0.009
79800	0.980831	0.01
8092	1.14908	0.038
9949	0.971934	0.001
64682	1.05516	0.036
150709	0.940697	0.02
57101	1.21911	0.041
8125	1.13961	0.013
23520	1.06511	0.044
306	1.4565	0.023
8907	0.93676	0.001
9582	0.718639	0.009
80833	0.822916	0.004
80832	0.990857	0.02
10513	0.920178	0.035
206338	0.905716	0.048
382	0.957252	0.047
10565	1.07696	0.015
10139	0.936284	0.045
9824	1.00392	0.019
83478	0.86967	0.001
79822	1.36742	0.017
9912	1.17834	0.017
50649	1.02546	0.002
400	0.928931	0.016
219681	1.16354	0.008
407	0.984296	0.045
414	0.920428	0.008
55616	1.06085	0.047
142689	1.16032	0.011
51130	1.07739	0.016
140460	0.967225	0.041
55723	0.985655	0.05
55870	0.935232	0.01
55729	1.16562	0.024
84239	1.00279	0.008
537	0.928598	0.017
528	0.984956	0.003
540	1.17446	0.046
571	1.04746	0.018
7917	1.03208	0.011
85319	0.957773	0.036
599	0.88677	0.005
604	0.835881	0.004
83875	0.905527	0.02
54880	1.26672	0.042
222389	0.955858	0.029
27319	0.986633	0.039
330	0.934862	0.028
359710	0.998136	0.018
128859	0.971519	0.046
10380	0.904102	0.009
8019	1.11503	0.022
26580	1.03522	0.018
689	1.01352	0.003
151888	0.957673	0.003
11119	0.724838	0.027
160140	0.930032	0.024
57102	0.913365	0.024
79794	1.04845	0.004
374467	0.941328	0.01
90381	1.12958	0.042
84419	0.927775	0.05
54785	0.946147	0.043
83636	0.95071	0.038
114904	0.96167	0.049
148523	0.996326	0.036
140894	0.997149	0.013
55471	1.13784	0.015
84830	0.949512	0.039
